date,time,text,nearest_match,match_result,source,text_lr,lr_pred,lr_proba_pos,vader_proba_pos,vader_pred,claude_label,claude_pred,claude_proba_pos,lr_label,vader_label,agreement,text_clean,lr3_pred,lr3_proba,lr3_label
2024-07-07,09:01:00,"Diego Costa ??

#UEL",Tournament window,,euro2024_domain,diego costa uel,0,0.4814400126475165,0.5,1,neutral,1,0.5,negative,positive,all_disagree,diego costa uel,1,0.1430324409232981,neutral
2024-07-07,11:00:00,"Edin Deko beats the angle ????

#UEL",Tournament window,,euro2024_domain,edin eko beats angle uel,1,0.7193098748858987,0.5,1,neutral,1,0.5,positive,positive,all_agree,edin eko beats angle uel,1,0.17544859245073333,neutral
2024-07-07,11:02:00,Dominican Republic will host a FIFA tournament for the first time when the FIFA U-17 Womens World Cup takes place in October! ??????,Tournament window,,euro2024_domain,dominican republic host fifa tournament first time fifa women world cup takes place october,1,0.9062661492279044,0.5,1,neutral,1,0.5,positive,positive,all_agree,dominican republic will host fifa tournament first time when fifa women world cup takes place october,1,0.2602238247545832,neutral
2024-07-07,11:02:00,"The @Olympic Football Tournaments get underway in July ??

16 mens teams and 12 womens teams  including four @FIFAWWC champions  will be competing ??",Tournament window,,euro2024_domain,football tournaments get underway july men teams women teams including four champions competing,1,0.9036534567571004,0.82765,1,neutral,1,0.5,positive,positive,all_agree,football tournaments get underway july men teams women teams including four champions will competing,1,0.1806938767031227,neutral
2024-07-07,11:02:00,"The FIFA Futsal World Cup will become the first FIFA tournament to be hosted in Central Asia, as Uzbekistan prepare to welcome 24 nations in September ????",Tournament window,,euro2024_domain,fifa futsal world cup become first fifa tournament hosted central asia uzbekistan prepare welcome nations september,1,0.9707856567439576,0.8036,1,neutral,1,0.5,positive,positive,all_agree,fifa futsal world cup will become first fifa tournament hosted central asia uzbekistan prepare welcome nations september,2,0.8994016329096174,positive
2024-07-07,11:02:00,"The FIFA U-20 Womens World Cup starts in August! ??

The 11th edition will be held in Colombia and feature 24 teams  up from 16 at previous editions.",Tournament window,,euro2024_domain,fifa women world cup starts august edition held colombia feature teams previous editions,1,0.8691555090638221,0.5,1,neutral,1,0.5,positive,positive,all_agree,fifa women world cup starts august edition will held colombia feature teams previous editions,1,0.11035279670093007,neutral
2024-07-07,11:02:00,"The year will end with the inaugural FIFA Intercontinental Cup, with the final taking place on 18 December ??",Tournament window,,euro2024_domain,year end inaugural fifa intercontinental cup final taking place december,1,0.8637052863985603,0.5,1,neutral,1,0.5,positive,positive,all_agree,year will end inaugural fifa intercontinental cup final taking place december,1,0.13094875385146187,neutral
2024-07-07,11:02:00,"What else is coming up for FIFA in 2024? ?????

Key events this year, a thread ??",Tournament window,,euro2024_domain,else coming fifa key events year thread,1,0.8296501448537005,0.5,1,neutral,1,0.5,positive,positive,all_agree,else coming fifa key events year thread,1,0.040297200199376285,neutral
2024-07-07,13:00:00,"Khazri smash ??

#UEL",Tournament window,,euro2024_domain,khazri smash uel,1,0.830778761939904,0.5,1,neutral,1,0.5,positive,positive,all_agree,khazri smash uel,2,0.7390828800469783,positive
2024-07-07,13:27:00,"If you placed every bet tipped in our horse racing group this week with ONLY A £3 STAKE 

You returned £105.60 profit ???

Doing the same for the whole of 2024 would have returned you £2,346.50 profit ???

sublaunch.com/lordracingtips",Tournament window,,euro2024_domain,placed every bet tipped horse racing group week stake returned profit whole would returned profit sublaunch com lordracingtips,1,0.7706676089933739,0.88785,1,neutral,1,0.5,positive,positive,all_agree,placed every bet tipped horse racing group week only stake returned profit doing same whole would returned profit sublaunch com lordracingtips,1,0.21375161470325663,neutral
