date,time,text,nearest_match,match_result,lr_pred,lr_proba_pos,bert_pred,bert_proba_pos,bert_neg,bert_neu,bert_pos
2024-07-07,09:01:00,"Diego Costa ??

#UEL",Tournament window,,1,0.5162168158210455,1,0.03840534761548042,0.02765951119363308,0.9339351058006287,0.03840534761548042
2024-07-07,11:00:00,"Edin Deko beats the angle ????

#UEL",Tournament window,,1,0.6582939692449672,1,0.05587504804134369,0.04407352954149246,0.9000514149665833,0.05587504804134369
2024-07-07,11:02:00,Dominican Republic will host a FIFA tournament for the first time when the FIFA U-17 Womens World Cup takes place in October! ??????,Tournament window,,1,0.8452549202761787,1,0.2364043891429901,0.0056412070989608765,0.7579543590545654,0.2364043891429901
2024-07-07,11:02:00,"The @Olympic Football Tournaments get underway in July ??

16 mens teams and 12 womens teams  including four @FIFAWWC champions  will be competing ??",Tournament window,,1,0.9527937611934449,1,0.11654939502477646,0.0025024949572980404,0.8809480667114258,0.11654939502477646
2024-07-07,11:02:00,"The FIFA Futsal World Cup will become the first FIFA tournament to be hosted in Central Asia, as Uzbekistan prepare to welcome 24 nations in September ????",Tournament window,,1,0.9830249216894047,1,0.25600919127464294,0.0028996355831623077,0.7410911917686462,0.25600919127464294
2024-07-07,11:02:00,"The FIFA U-20 Womens World Cup starts in August! ??

The 11th edition will be held in Colombia and feature 24 teams  up from 16 at previous editions.",Tournament window,,1,0.9062441029817311,1,0.2983444631099701,0.002636343939229846,0.6990191340446472,0.2983444631099701
2024-07-07,11:02:00,"The year will end with the inaugural FIFA Intercontinental Cup, with the final taking place on 18 December ??",Tournament window,,1,0.7457358170541927,1,0.11190491914749146,0.0027866829186677933,0.8853083252906799,0.11190491914749146
2024-07-07,11:02:00,"What else is coming up for FIFA in 2024? ?????

Key events this year, a thread ??",Tournament window,,1,0.7991847164308779,1,0.057425230741500854,0.012909147888422012,0.9296656847000122,0.057425230741500854
2024-07-07,13:00:00,"Khazri smash ??

#UEL",Tournament window,,1,0.7844635981269666,1,0.04813309386372566,0.02849530428647995,0.9233715534210205,0.04813309386372566
2024-07-07,13:27:00,"If you placed every bet tipped in our horse racing group this week with ONLY A £3 STAKE 

You returned £105.60 profit ???

Doing the same for the whole of 2024 would have returned you £2,346.50 profit ???

sublaunch.com/lordracingtips",Tournament window,,1,0.7345274644789085,1,0.17084603011608124,0.059988249093294144,0.7691656947135925,0.17084603011608124
